TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON
1610612762,Utah Jazz,82,25,57,0.305,3956,100.6,102.4,109.1,110.1,-8.4,-7.6,0.564,1.39,16.1,0.297,0.708,0.497,0.158,0.484,0.523,93.6,92.32,76.94,7605,0.451,1,26,26,26,22,25,29,28,22,24,24,15,15,19,19,22,23,26,28,2013-14
1610612764,Washington Wizards,82,44,38,0.537,4011,103.3,104.9,102.4,103.6,0.9,1.3,0.601,1.59,17.6,0.286,0.719,0.498,0.153,0.506,0.538,95.5,94.18,78.48,7872,0.504,1,14,14,14,1,20,7,15,7,10,7,21,7,18,14,11,15,18,16,2013-14
1610612737,Atlanta Hawks,82,60,22,0.732,3946,106.2,108.2,100.7,102.3,5.6,5.9,0.676,1.81,19.5,0.264,0.697,0.487,0.15,0.527,0.563,96.2,94.66,78.88,7775,0.54,1,2,2,2,26,6,5,4,1,3,2,30,22,27,17,3,3,15,3,2014-15
1610612738,Boston Celtics,82,40,42,0.488,3976,101.7,103.8,102.1,103.5,-0.4,0.3,0.629,1.77,18,0.289,0.71,0.495,0.142,0.489,0.523,98.4,96.71,80.59,8007,0.498,1,16,16,16,8,19,12,16,3,4,6,15,16,18,6,22,23,5,18,2014-15
1610612751,Brooklyn Nets,82,38,44,0.463,3986,101.9,103.4,105,106.3,-3.1,-3,0.559,1.51,16.3,0.278,0.701,0.491,0.146,0.491,0.529,95,93.69,78.07,7777,0.48,1,18,18,18,3,20,23,21,25,19,19,23,19,22,13,18,20,20,23,2014-15
1610612766,Charlotte Hornets,82,33,49,0.402,3981,97.6,99.6,101,103,-3.4,-3.4,0.568,1.69,15.8,0.27,0.746,0.502,0.126,0.456,0.498,95.3,93.45,77.87,7753,0.482,1,22,22,22,6,28,10,24,19,7,25,27,1,13,1,30,29,24,22,2014-15
1610612741,Chicago Bulls,82,50,32,0.61,3976,104.7,106.3,101.5,103.3,3.3,3,0.593,1.56,16.6,0.312,0.709,0.516,0.147,0.489,0.536,95.4,93.8,78.17,7775,0.529,1,9,9,9,8,11,11,11,11,15,14,5,17,4,15,21,14,19,6,2014-15
1610612739,Cleveland Cavaliers,82,53,29,0.646,3956,107.7,110.1,104.1,105.3,3.7,4.8,0.587,1.55,17.1,0.311,0.711,0.513,0.152,0.52,0.557,94.8,93.23,77.69,7682,0.514,1,7,7,7,23,4,18,5,13,16,9,6,15,6,19,4,4,25,10,2014-15
1610612742,Dallas Mavericks,82,50,32,0.61,3976,107.2,108.2,103.7,104.9,3.5,3.2,0.567,1.74,17,0.269,0.681,0.477,0.133,0.515,0.55,97.4,96.4,80.34,7976,0.521,1,9,9,9,8,5,17,9,20,6,10,28,30,30,3,6,7,8,9,2014-15
1610612743,Denver Nuggets,82,30,52,0.366,3976,101.6,103.9,105.5,107.1,-3.9,-3.3,0.577,1.53,16.2,0.303,0.7,0.494,0.146,0.479,0.518,98.7,96.87,80.72,8011,0.465,1,24,24,24,8,18,26,23,17,17,20,10,20,20,12,25,24,4,25,2014-15
